Product Description,Price Category
"Przeznaczone do pielęgnacji skóry młodej, trądzikowej, a także bardzo suchej i pękającej (dolegliwości związane z chorobą Hashimoto). Odżywia, regeneruje i wygładza skórę, a także łagodzi stany zapalne i przyspiesza gojenie.

OLEUM – magiczne połączenie leku i kosmetyku – cudownie działający koktajl złożony ze świeżych ziół pozyskiwanych z własnych ekologicznych plantacji oraz organicznych olejów i maseł roślinnych sprowadzanych z całego świata. To wszystko zamknięte w aptecznym, poddającym się recyklingowi słoiczku. Terapia i pielęgnacja w jednym – zdrowie i uroda… a w prezencie kropelka aromaterapii ;)

Pokrzywa zwyczajna wcale taka zwyczajna nie jest – to jedna z najcenniejszych roślin leczniczych. Z reguły traktowana jak uciążliwy chwast musi mieć w sobie wielką moc, skoro radzi sobie nawet w najbardziej niesprzyjających warunkach. Mimo, że została dokładnie przebadana przez naukowców, nadal potrafi zadziwić właściwościami nieporównywalnymi z innymi roślinami. Bogata w kwas foliowy, żelazo oraz całe mnóstwo witaminy C, wapń, krzem – substancje, które wzmacniają, oczyszczają i regenerują ludzki organizm. Duża ilości chlorofilu zawartego w liściach pokrzywy, sole mineralne oraz mikroelementy, takie jak: magnez, wapń, potas oraz doskonale przyswajalne żelazo, acetylocholina, karotenoidy, fitosterole i flawonoidy – te wszystkie substancje nie pozostają bez wpływu na stan naszej skóry. Pokrzywa odżywia, regeneruje i wygładza skórę. Ma działanie przeciwzapalne, antyseptyczne, antyrodnikowe i przeciwzmarszczkowe. Jest niezastąpiona w leczeniu schorzeń skórnych, ropni, czyraków, trądziku i innych stanów zapalnych. Dzięki wyjątkowym właściwościom nawilżającym świetnie się sprawdza przy pielęgnacji suchych i pękających pięt, kolan i łokci. Masaż przy użyciu oleum pokrzywowego zmniejsza napięcie mięśni i poprawia krążenie krwi.

Olej z czarnuszki siewnej łagodzi podrażnienia, przyśpiesza gojenie się ran, wspomaga leczenie schorzeń skórnych, takich jak trądzik czy atopowe zapalenie skóry. Ponadto poprawia kondycję skóry suchej, nawilżając ją, a dzięki wysokiej zawartości antyoksydantów opóźnia proces starzenia się skóry. W przypadku cery tłustej zapobiega błyszczeniu.

Olej z pestek winogron jest najbogatszym źródłem kwasu linolowego oraz naturalnej witaminy E, która jest doskonałym antyutleniaczem. Ponad to, zawiera witaminę B6, lecytynę, przeciwutleniające flawonoidy i resweratrol, a także wiele minerałów. Dzięki temu pomaga hamować procesy starzenia się skóry, regeneruje ją i odżywia, ma właściwości łagodzące podrażnienia, tonizuje i działa przeciwzapalnie.
Po zastosowaniu bezpośrednio na skórę, doskonale się wchłania, nie pozostawiając tłustej warstwy. Skóra staje się gładka i rozświetlona, poprawia się jej jędrność i napięcie, wzmocniona zostaje lipidowa struktura naskórka.

Masło shea, zwane również masłem karité (z francuskiego ŻYCIE), jest aromatycznym tłuszczem otrzymywanym z nasion drzewa masłowego.
Stanowi naturalny filtr UV, działa przeciwzapalnie, antybakteryjnie, przeciwstarzeniowo, zmniejsza rozstępy. Jest to również wspaniały środek leczniczy, ponieważ przyśpiesza bliznowacenie ran i oparzeń. Ponadto zawiera witaminę F, która przynosi ulgę zmęczonym, napiętym i bolącym mięśniom, powodując ich rozluźnienie.
W 90 procentach składa się z kwasu oleinowego i stearynowego, a ilość nienasyconych kwasów tłuszczowych znacznie przewyższa tę zawartą w maśle kakaowym czy innych naturalnych masłach roślinnych. Nienasycone kwasy tłuszczowe są kluczowym składnikiem przy odmładzaniu i nawilżaniu skóry - dzięki głębokiej penetracji skóry, natłuszczają ją oraz nawilżają. Masło shea pomaga utrzymać wilgoć i zmniejszyć utratę wody tworząc barierę ochronną, poprzez wiązanie wody (obniża współczynnik TEWL) zapobiegając przesuszeniu i łuszczeniu się skóry. Jednocześnie doskonale się wchłania nie pozostawiając tłustej warstwy, długo zaś pozostaje w głębszych warstwach skóry.
Niezaprzeczalnie dzięki swemu pochodzeniu wnosi też powiew egzotyki do kosmetyków.

Wosk pszczeli naturalny tworzy na powierzchni warstwę okluzyjną (film), która zapobiega nadmiernemu odparowywaniu wody z powierzchni (jest to pośrednie działanie nawilżające). Dzięki temu kondycjonuje, czyli zmiękcza i wygładza skórę, nadaje jej połysk, wykazuje działanie regenerujące.
Amatorów miodu urzeka ponadto swoim cudownym słodkim zapachem.",0
"100% Vegan

Szczotkowanie ciała to delikatny masaż całego ciała wykonywany na sucho. Daje ono pozytywne rezultaty nie tylko dla wyglądu, ale również dla zdrowia całego organizmu.Szczotkowanie pobudza do wzmożonej pracy układ limfatyczny, który odpowiada za usuwanie szkodliwych produktów przemiany materii. Masaż szczotką ma działanie antyoksydacyjne– komórki są stymulowane i poprawia się krążenie krwi, dzięki czemu toksyny są szybciej wydalane z organizmu. Masaż szczotką to jeden ze sposobów na zredukowanie stresu. Szczotkowanie sprawia, że mięśnie się rozluźniają, a nasz umysł odpoczywa. Warto zadbać o odpowiednią atmosferę w trakcie masażu. Jeśli zależy nam na odprężeniu się, powinnyśmy zapewnić sobie ciszę i spokój. Jeśli chcesz mieć piękne ciało, powinnaś spróbować szczotkowania na sucho. W trakcie masażu szczotką złuszczamy martwy naskórek, odkrywając świeżą, promienną skórę. Szczotkowanie ciała to świetny sposób na pozbycie się cellulitu. Masaż pozwala na rozbicie tkanki tłuszczowej w problematycznych miejscach ciała i jej równomierne rozłożenie. Dzięki temu skórka pomarańczowa staje się mniej widoczna. Szczotka działa jak peeling, dlatego skóra staje się gładka, napięta i jędrna, a kosmetyki zaaplikowane bezpośrednio po masażu lepiej się wchłaniają i działają.",0
"Receptura wzbogacona o hydrolat z zielonej herbaty i kwiatu lipy w połączeniu z kompleksem pomarańczy, limonki i cytryny poprawia nawilżenie o 45% co poparte jest wynikami badań aparaturowych po 28 dniach stosowania.

Zawarty w esencji ekstrakt z szałwii hiszpańskiej odpowiedzialny za działanie anti-pollution, tworzy na skórze film chroniący przed szkodliwym wpływem czynników zewnętrznych (np. smog). Kwasy AHA regulują pH skóry, przywracają jej naturalny i fizjologiczny odczyn wspierając wchłanianie składników aktywnych.

Nasze ulubione składniki aktywne: kompleks kwasów AHA, niacynamid, kwas hialuronowy, hydrolaty z zielonej herbaty, kwiatu lipy i róży demasceńskiej, ekstrakty z borówki, lukrecji i szałwii hiszpańskiej.",0
"Serum o wyjątkowych właściwościach antybakteryjnych i regenerujących. Polecamy je szczególnie osobom, które potrzebują wsparcia przy problemach skórnych.

Zawarty w nim olej rokitnikowy przyśpiesza proces regeneracji skóry oraz nadaje jej wyjątkowy koloryt a olejek krwawnikowy oczyszcza i wygładza skórę oraz przywraca równowagę hormonalną organizmu. Wykorzystujemy w nim gojące i uzdrawiające właściwości oleju tamanu oraz rodzimy olej konopny, który zmiękcza, uelastycznia i dogłębnie odżywia skórę. Olejek z drzewa herbacianego działa antybakteryjne i odkażająco.

Nasze serum w przeciwieństwie do większości produktów przeznaczonych do cery trądzikowej nie wysusza skóry, ale ją nawilża. Jest niezwykle wydajne - jedna buteleczka wystarczy Ci na 3 miesiące codziennego używania.

Czego się możesz spodziewać? Konsystencja: lekki, dobrze wchłanialny olejek. Zapach: ziołowy z orzeźwiającą nutą tymianku. Działanie: antybakteryjne, gojące, regulujące gospodarkę hormonalną.

Dla kogo? Dla cery trądzikowej, problematycznej jako kosmetyk do codziennej pielęgnacji lub pomoc po kuracji anty-trądzikowej.",0
"Intensywne serum o działaniu ujędrniającym i przeciwzmarszczkowym. Uelastycznia i wzmacnia skórę, stymulując jednocześnie odnowę komórek skóry i hamując proces jej starzenia się. Usuwa toksyny oraz dotlenia skórę, poprawiając jej wygląd, koloryt i strukturę.

Esencjonalne serum, które wzmacnia ścianki naczyń krwionośnych, skutecznie odżywia, i widocznie poprawia kondycję oraz koloryt skóry. Już po kilku dniach zauważysz, że twoja skóra jest gładka, dogłębnie zregenerowana i rozświetlona.

Dodajemy do niego m.in: olej z dzikiej róży - remedium dla skóry suchej i spiętej, skwalan - zapobiegający przedwczesnemu starzeniu się skóry, naturalny środek zmiękczający i łagodzący oraz olejek cyprysowy, który poprawia ukrwienie oraz gospodarkę wodną skóry, a ponadto koi i działa relaksująco. Wyjątkowy zapach serum to zasługa olejku z geranium, który rozbudza zmysły przygotowując je na wyzwania nadchodzącego dnia.

Czego się możesz spodziewać? Konsystencja: lekki olejek. Zapach: kwiatowy z nuta róży. Skóra: wzmocniona, nawilżona, elastyczna o zdrowym kolorycie.",0
"Działanie:

- antyoksydacyjne
- chroni przed działaniem wodnych rodników
- poprawia barierę lipidową naskórka
- redukuje pracę gruczołów łojowych
- odblokowuje pory oraz redukuje zaskórniki
- naturalny filtr UV!",0
"Delikatny, suchy olejek który dogłębnie nawilża i wygładza skórę. Działa antyoksydacyjnie i stymuluje regenerację tkanek. Serum nawilżające szybko się wchłania, delikatnie ściąga, nie pozostawia na skórze tłustego filmu.

Olej z awokado to źródło witamin i nienasyconych kwasów tłuszczowych, skutecznie nawilża i odżywia skórę. Skwalan z trzciny cukrowej wygładza, nawilża i zmiękcza skórę. Jest również antyoksydantem, chroniącym lipidowe struktury skóry przed utlenianiem i wolnymi rodnikami. Kwas hialuronowy, zwany eliksirem młodości, skutecznie nawilża, ujędrnia i poprawia elastyczność skóry.

W naszym serum wykorzystujemy połączenie olejków palmarozowego i z drzewa sandałowego, które intensywnie ujędrniają, nawilżają i zapobiegają powstawaniu zmarszczek mimicznych. Dodatkową zaletą jest ich zapach, który uspokaja, rozluźnia i działa antydepresyjnie

Czego się możesz spodziewać? Konsystencja: bardzo lekki, dobrze wchłanialny olejek. Zapach: świeży, ziołowy. Działanie: nawilżające, odżywcze, ochronne, ujędrniające.",0
"Bogaty tonik do twarzy Algotonic stanowi pierwszy krok w codziennej pielęgnacji skóry twarzy. Unikalne połączenie wody z lodowca norweskiego i pięciu rodzajów alg morskich odżywia skórę dostarczając jej witamin, minerałów i pierwiastków śladowych. Niskocząteczkowy kwas hialuronowy przenika warstwę rogową skóry i dogłębnie ją nawilża oraz zapobiega jej wysuszeniu. Organiczna woda z chabru bławatka ma działania tonizujące, przeciwzapalne i łagodzące.

Produkt przebadany dermatologicznie.",0
"Delikatnie i skutecznie oczyszcza skórę twarzy pozostawiając ją lekko nawilżoną. Usuwa nadmiar sebum i zanieczyszczenia oraz domywa makijaż, daje przyjemne uczucie świeżości, pozostawia skórę oczyszczoną i dobrze przygotowaną do kolejnych kroków pielęgnacyjnych. Wyjątkowa formuła żelu działa na skórę łagodząco i kojąco, nie powodując efektu ściągnięcia.

Korzyści:
- żel skutecznie oczyszcza skórę twarzy bez efektu ściągnięcia
- usuwa sebum, domywa makijażu
- pozostawia uczucie świeżości i nawilżenia
- działa łagodząco i kojąco
- idealnie przygotowuje skórę do kolejnych etapów pielęgnacyjnych

Wskazania:
Żel idealnie sprawdzi się niezależnie od typu skóry, również u osób z cerą wrażliwą. Docenią go osoby, które wiedzą jak ważne jest codzienne, dokładne oczyszczanie skóry twarzy rano i wieczorem. Dobrze jest włączyć żel do codziennej rutyny oczyszczającej skórę twarzy w ten sposób przygotowując skórę do dalszych etapów pielęgnacyjnych.

Dla lepszego efektu zalecamy 2-3 razy w tygodniu, po umyciu twarzy, użyć peeling enzymatyczny z linii ALGOPURE

EKO TUBY wykonane w 96% z biomasy uzyskiwanej z trzciny cukrowej.",0
"Co wpływa na jego skuteczność i pozytywne działanie? 

Substancje powierzchniowo czynne pochodzenia roślinnego, np. z kokosa usuwają brud, a jednocześnie są świetnie tolerowane przez skórę i nie zabierają jej wody ani lipidów. 

Mycie skóry jest jednocześnie pielęgnacją dzięki ekstraktowi z brzoskwini. Ten soczysty owoc kryje  mnóstwo kwasów owocowych, węglowodanów, soli mineralnych i witamin. Działa na skórę odżywczo i nawilżająco, a także odmładzająco i ochronnie - zatrzymuje w naskórku wodę. 

Poza nim w tubce znajduje się też nawilżająca i łagodząca roślinna betaina, ekstrakt z owsa, który odżywia i tworzy na skórze ochronny film oraz skrobia z tapioki, która koi oczyszczaną cerę.",0
"Bogaty przede wszystkim w witaminę E i F, fitosterole, kwasy tłuszczowe, wyższe alkohole i skwalen, dzięki czemu wykazuje bardzo korzystne działanie na skórę i włosy. Jest skutecznym środkiem łagodzącym objawy zapalenia stawów oraz reumatyzmu.",0
"Krem po którym skóra jest aksamitnie gładka i mocno nawilżona. Jest połączeniem pięknego zapachu który działa energetyzująco i relaksująco oraz przeciwzmarszczkowego działania. Został opracowany, aby wspierać naturalną regenerację Twojej skóry, a jednocześnie zredukować drobne linie i zmarszczki.

Czego możesz się spodziewać? Konsystencja: lekki krem o delikatnej teksturze. Zapach: ziołowy, z nutą pochodzącą z olejków eterycznych - różanego, geraniowego i lawendowego. Skóra: mocno nawilżona, odżywiona, gładka.",0
"Działanie:

- poprawia funkcjonowanie układu krążenia
- wspomaga pracę naczyń krwionośnych
- działa przeciwgrzybicznie, antybakteryjnie i przeciwbólowo
- działa regenerująco i przeciwzapalnie
- skuteczny w kompleksowej terapii trądziku, łuszczycy, atopowego zapalenia skóry
- zawiera też dużo witamin (A, C, E, z grupy B) oraz minerałów. Wymienione substancje razem z zawartymi w oleju kwasami Omega3 i Omega6 stanowią kompozycję składników doskonałą dla zachowania zdrowia, urody i młodości skóry.",0
"Delikatny w konsystencji i skuteczny w działaniu organiczny krem NAFFI dogłębnie nawilża, pielęgnuje i odżywia nawet najwrażliwszą skórę twarzy. Wzmacnia ścianki naczyń krwionośnych, uelastycznia dodatkowo wyrównując koloryt skóry. Łagodzi podrażnienia i przyspiesza regenerację naskórka. Nie pozostawia tłustego filtru na skórze. Świetnie nadaje się pod makijaż.

Dodajemy do niego m.in: bogaty w witaminy olej z awokado źródło nienasyconych kwasów tłuszczowych, aminokwasów i protein, który odżywia skórę oraz przeciwdziała parowaniu z niej wody, olej z pachnotki posiadający bardzo silne właściwości antyoksydacyjne, przyspieszający produkcję kolagenu i elastyny oraz olej z rokitnika - dzięki swoim niezwykłym właściwościom leczniczym zwany ""złotem Syberii"". To źródło witamin C i E - hamuje procesy starzenia skóry poprawia ukrwienie oraz zapobiega powstawaniu przebarwień.

Czego możesz się spodziewać? Konsystencja: lekki krem o delikatnej teksturze. Zapach: intensywny ziołowy, z nutą pochodzącą z olejków eterycznych - lawendowego, cytrynowego i geraniowego. Skóra: mocno nawilżona, odżywiona, gładka, o zdrowym odcieniu.",0
